provincia,source,poblacion_total,cod_provincia
albacete,Poblacion,388786,02
alicante,Poblacion,1838819,03
almeria,Poblacion,709340,04
alava,Poblacion,328868,01
asturias,Poblacion,1028244,33
avila,Poblacion,158498,05
badajoz,Poblacion,676376,06
"balears, illes",Poblacion,1128908,07
barcelona,Poblacion,5609350,08
bizkaia,Poblacion,1149628,48
burgos,Poblacion,357070,09
caceres,Poblacion,396487,10
cadiz,Poblacion,1238714,11
cantabria,Poblacion,580229,39
castellon,Poblacion,576898,12
ciudad real,Poblacion,499100,13
cordoba,Poblacion,785240,14
a coruna,Poblacion,1119351,15
cuenca,Poblacion,197222,16
gipuzkoa,Poblacion,720592,20
girona,Poblacion,761947,17
granada,Poblacion,912075,18
guadalajara,Poblacion,254308,19
huelva,Poblacion,519932,21
huesca,Poblacion,219345,22
jaen,Poblacion,638099,23
leon,Poblacion,463746,24
lleida,Poblacion,432866,25
lugo,Poblacion,331327,27
madrid,Poblacion,6578079,28
malaga,Poblacion,1641121,29
murcia,Poblacion,1478509,30
navarra,Poblacion,647554,31
ourense,Poblacion,309293,32
palencia,Poblacion,162035,34
"palmas, las",Poblacion,1109175,35
pontevedra,Poblacion,941772,36
"rioja, la",Poblacion,315675,26
salamanca,Poblacion,331473,37
santa cruz de tenerife,Poblacion,1018510,38
segovia,Poblacion,153342,40
sevilla,Poblacion,1939887,41
soria,Poblacion,88600,42
tarragona,Poblacion,795902,43
teruel,Poblacion,134572,44
toledo,Poblacion,687391,45
valencia,Poblacion,2547986,46
valladolid,Poblacion,519851,47
zamora,Poblacion,174549,49
zaragoza,Poblacion,954811,50
ceuta,Poblacion,85144,51
melilla,Poblacion,86384,52
